date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:21:39	65575/65575	---MCZ	200	added ('OK')	text/html	etag:W/%22612c8ee4-10027%22	https://www.bootstrapdash.com/demo/skydash/template/demo/vertical-dark-sidebar/index.html	C:/My%20Web%20Sites/KH/www.bootstrapdash.com/demo/skydash/template/demo/vertical-dark-sidebar/index.html	(from )
15:21:40	94/94	---MCZ	200	added ('OK')	text/plain	etag:W/%225e89b834-7f%22	https://www.bootstrapdash.com/robots.txt		(from )
15:21:40	7129/7129	---MCZ	200	added ('OK')	text/css	etag:W/%22608aaf5d-1bd9%22	https://www.bootstrapdash.com/demo/skydash/template/vendors/feather/feather.css	C:/My%20Web%20Sites/KH/www.bootstrapdash.com/demo/skydash/template/vendors/feather/feather.css	(from https://www.bootstrapdash.com/demo/skydash/template/demo/vertical-dark-sidebar/index.html)
15:21:40	17484/17484	---MCZ	200	added ('OK')	text/css	etag:W/%22608aaf5d-444c%22	https://www.bootstrapdash.com/demo/skydash/template/vendors/ti-icons/css/themify-icons.css	C:/My%20Web%20Sites/KH/www.bootstrapdash.com/demo/skydash/template/vendors/ti-icons/css/themify-icons.css	(from https://www.bootstrapdash.com/demo/skydash/template/demo/vertical-dark-sidebar/index.html)
15:21:41	2598/2598	---MCZ	200	added ('OK')	text/css	etag:W/%22608aaf5d-a26%22	https://www.bootstrapdash.com/demo/skydash/template/vendors/css/vendor.bundle.base.css	C:/My%20Web%20Sites/KH/www.bootstrapdash.com/demo/skydash/template/vendors/css/vendor.bundle.base.css	(from https://www.bootstrapdash.com/demo/skydash/template/demo/vertical-dark-sidebar/index.html)
15:21:42	1078539/1078539	---MCZ	200	added ('OK')	text/css	etag:W/%22612ccccc-10750b%22	https://www.bootstrapdash.com/demo/skydash/template/css/vertical-layout-light/style.css	C:/My%20Web%20Sites/KH/www.bootstrapdash.com/demo/skydash/template/css/vertical-layout-light/style.css	(from https://www.bootstrapdash.com/demo/skydash/template/demo/vertical-dark-sidebar/index.html)
15:21:42	2061/2061	---M--	200	added ('OK')	image/png	etag:%22612c8ee4-80d%22	https://www.bootstrapdash.com/demo/skydash/template/images/favicon.png	C:/My%20Web%20Sites/KH/www.bootstrapdash.com/demo/skydash/template/images/favicon.png	(from https://www.bootstrapdash.com/demo/skydash/template/demo/vertical-dark-sidebar/index.html)
15:21:42	21120/21120	---M--	200	added ('OK')	image/jpeg	etag:%22608aaf5d-5280%22	https://www.bootstrapdash.com/demo/skydash/template/images/faces/face28.jpg	C:/My%20Web%20Sites/KH/www.bootstrapdash.com/demo/skydash/template/images/faces/face28.jpg	(from https://www.bootstrapdash.com/demo/skydash/template/demo/vertical-dark-sidebar/index.html)
15:21:42	12977/12977	---M--	200	added ('OK')	image/jpeg	etag:%22608aaf5d-32b1%22	https://www.bootstrapdash.com/demo/skydash/template/images/faces/face1.jpg	C:/My%20Web%20Sites/KH/www.bootstrapdash.com/demo/skydash/template/images/faces/face1.jpg	(from https://www.bootstrapdash.com/demo/skydash/template/demo/vertical-dark-sidebar/index.html)
15:21:43	13360/13360	---M--	200	added ('OK')	image/jpeg	etag:%22608aaf5d-3430%22	https://www.bootstrapdash.com/demo/skydash/template/images/faces/face2.jpg	C:/My%20Web%20Sites/KH/www.bootstrapdash.com/demo/skydash/template/images/faces/face2.jpg	(from https://www.bootstrapdash.com/demo/skydash/template/demo/vertical-dark-sidebar/index.html)
15:21:43	15550/15550	---M--	200	added ('OK')	image/jpeg	etag:%22608aaf5d-3cbe%22	https://www.bootstrapdash.com/demo/skydash/template/images/faces/face3.jpg	C:/My%20Web%20Sites/KH/www.bootstrapdash.com/demo/skydash/template/images/faces/face3.jpg	(from https://www.bootstrapdash.com/demo/skydash/template/demo/vertical-dark-sidebar/index.html)
15:21:43	11728/11728	---M--	200	added ('OK')	image/jpeg	etag:%22608aaf5d-2dd0%22	https://www.bootstrapdash.com/demo/skydash/template/images/faces/face4.jpg	C:/My%20Web%20Sites/KH/www.bootstrapdash.com/demo/skydash/template/images/faces/face4.jpg	(from https://www.bootstrapdash.com/demo/skydash/template/demo/vertical-dark-sidebar/index.html)
15:21:44	10862/10862	---M--	200	added ('OK')	image/jpeg	etag:%22608aaf5d-2a6e%22	https://www.bootstrapdash.com/demo/skydash/template/images/faces/face5.jpg	C:/My%20Web%20Sites/KH/www.bootstrapdash.com/demo/skydash/template/images/faces/face5.jpg	(from https://www.bootstrapdash.com/demo/skydash/template/demo/vertical-dark-sidebar/index.html)
15:21:44	12222/12222	---M--	200	added ('OK')	image/jpeg	etag:%22608aaf5d-2fbe%22	https://www.bootstrapdash.com/demo/skydash/template/images/faces/face6.jpg	C:/My%20Web%20Sites/KH/www.bootstrapdash.com/demo/skydash/template/images/faces/face6.jpg	(from https://www.bootstrapdash.com/demo/skydash/template/demo/vertical-dark-sidebar/index.html)
15:21:44	50515/50515	---MCZ	200	added ('OK')	text/html	etag:W/%22612c8ee4-c553%22	https://www.bootstrapdash.com/demo/skydash/template/demo/vertical-dark-sidebar/pages/widgets/widgets.html	C:/My%20Web%20Sites/KH/www.bootstrapdash.com/demo/skydash/template/demo/vertical-dark-sidebar/pages/widgets/widgets.html	(from https://www.bootstrapdash.com/demo/skydash/template/demo/vertical-dark-sidebar/index.html)
15:21:44	56217/56217	---MCZ	200	added ('OK')	text/html	etag:W/%22612c8ee4-db99%22	https://www.bootstrapdash.com/demo/skydash/template/demo/vertical-dark-sidebar/pages/ui-features/accordions.html	C:/My%20Web%20Sites/KH/www.bootstrapdash.com/demo/skydash/template/demo/vertical-dark-sidebar/pages/ui-features/accordions.html	(from https://www.bootstrapdash.com/demo/skydash/template/demo/vertical-dark-sidebar/index.html)
15:21:45	56815/56815	---MCZ	200	added ('OK')	text/html	etag:W/%22612c8ee4-ddef%22	https://www.bootstrapdash.com/demo/skydash/template/demo/vertical-dark-sidebar/pages/ui-features/buttons.html	C:/My%20Web%20Sites/KH/www.bootstrapdash.com/demo/skydash/template/demo/vertical-dark-sidebar/pages/ui-features/buttons.html	(from https://www.bootstrapdash.com/demo/skydash/template/demo/vertical-dark-sidebar/index.html)
15:21:45	42708/42708	---MCZ	200	added ('OK')	text/html	etag:W/%22612c8ee4-a6d4%22	https://www.bootstrapdash.com/demo/skydash/template/demo/vertical-dark-sidebar/pages/ui-features/badges.html	C:/My%20Web%20Sites/KH/www.bootstrapdash.com/demo/skydash/template/demo/vertical-dark-sidebar/pages/ui-features/badges.html	(from https://www.bootstrapdash.com/demo/skydash/template/demo/vertical-dark-sidebar/index.html)
15:21:45	42754/42754	---MCZ	200	added ('OK')	text/html	etag:W/%22612c8ee4-a702%22	https://www.bootstrapdash.com/demo/skydash/template/demo/vertical-dark-sidebar/pages/ui-features/breadcrumbs.html	C:/My%20Web%20Sites/KH/www.bootstrapdash.com/demo/skydash/template/demo/vertical-dark-sidebar/pages/ui-features/breadcrumbs.html	(from https://www.bootstrapdash.com/demo/skydash/template/demo/vertical-dark-sidebar/index.html)
15:21:45	64917/64917	---MCZ	200	added ('OK')	text/html	etag:W/%22612c8ee4-fd95%22	https://www.bootstrapdash.com/demo/skydash/template/demo/vertical-dark-sidebar/pages/ui-features/dropdowns.html	C:/My%20Web%20Sites/KH/www.bootstrapdash.com/demo/skydash/template/demo/vertical-dark-sidebar/pages/ui-features/dropdowns.html	(from https://www.bootstrapdash.com/demo/skydash/template/demo/vertical-dark-sidebar/index.html)
15:21:46	42612/42612	---MCZ	200	added ('OK')	text/html	etag:W/%22612c8ee4-a674%22	https://www.bootstrapdash.com/demo/skydash/template/demo/vertical-dark-sidebar/pages/ui-features/modals.html	C:/My%20Web%20Sites/KH/www.bootstrapdash.com/demo/skydash/template/demo/vertical-dark-sidebar/pages/ui-features/modals.html	(from https://www.bootstrapdash.com/demo/skydash/template/demo/vertical-dark-sidebar/index.html)
