종류,상품명,상품설명,이자율,url
예금,KB Star 정기예금,Digital KB의 대표 정기예금,2.19,https://obank.kbstar.com/quics?page=C016613&cc=b061496:b061645&isNew=N&prcode=DP01000938
예금,KB 더블모아 예금,중장기 절세/투자와 단기 목돈 관리를 한 번에!,2.05,https://obank.kbstar.com/quics?page=C016613&cc=b061496:b061645&isNew=Y&prcode=DP01001493
예금,KB Green Wave 1.5℃ 정기예금,친환경 활동 실천 시 우대이율 제공,1.8,https://obank.kbstar.com/quics?page=C016613&cc=b061496:b061645&isNew=N&prcode=DP01001490
예금,KB증권 공모주 1.5배 정기예금,"KB증권 공모주 청약 시, 청약한도 150% 우대혜택을 제공하는",1.7,https://obank.kbstar.com/quics?page=C016613&cc=b061496:b061645&isNew=N&prcode=DP01001497
예금,국민수퍼정기예금(개인),가입 조건을 직접 설계하는,1.65,https://obank.kbstar.com/quics?page=C016613&cc=b061496:b061645&isNew=N&prcode=DP01000029
예금,KB골든라이프연금우대예금,은퇴후 현명한 목돈 관리법,1.65,https://obank.kbstar.com/quics?page=C016613&cc=b061496:b061645&isNew=N&prcode=DP01000713
예금,KB국민첫재테크예금,월복리로 키우는 첫 종잣돈,1.6,https://obank.kbstar.com/quics?page=C016613&cc=b061496:b061645&isNew=N&prcode=DP01000511
예금,KB Young Youth 증여예금,손·자녀 증여로 재테크 효과,1.55,https://obank.kbstar.com/quics?page=C016613&cc=b061496:b061645&isNew=N&prcode=DP01000791
예금,일반정기예금,목돈넣고 안정수익 마음든든,1.4,https://obank.kbstar.com/quics?page=C016613&cc=b061496:b061645&isNew=N&prcode=DP01000014
예금,KB펀드와만나는예금,예금과 펀드의 실속만남,1.15,https://obank.kbstar.com/quics?page=C016613&cc=b061496:b061645&isNew=N&prcode=DP01000534
