종류,상품명,상품설명,이자율,url
적금,KB나라사랑적금(직업군인용),사관생도·직업군인 맞춤 적금,5.6,https://obank.kbstar.com/quics?page=C016613&cc=b061496:b061645&isNew=N&prcode=DP01000924
적금,KB장병내일준비적금,국군장병 미래준비 맞춤적금,5.5,https://obank.kbstar.com/quics?page=C016613&cc=b061496:b061645&isNew=N&prcode=DP01000939
적금,KB국민행복적금,사회배려계층 행복 디딤돌,4.85,https://obank.kbstar.com/quics?page=C016613&cc=b061496:b061645&isNew=N&prcode=DP01000472
적금,KB미소드림적금,성실상환자 재기지원 적금,4.0,https://obank.kbstar.com/quics?page=C016613&cc=b061496:b061645&isNew=N&prcode=DP01000812
적금,KB마이핏적금,KB마이핏통장이 있다면 우대금리 쑥쑥!첫거래 고객에게 금리 최대 3.60% 제공!,3.5,https://obank.kbstar.com/quics?page=C016613&cc=b061496:b061645&isNew=N&prcode=DP01001242
적금,KB반려행복적금,반려동물과 추억도 쌓고 금리도 받고반려용품 할인쿠폰까지!!,3.35,https://obank.kbstar.com/quics?page=C016613&cc=b061496:b061645&isNew=N&prcode=DP01001491
적금,KB국민프리미엄적금 (정액적립식),단체가입/병역명문가 우대금리 제공,3.3,https://obank.kbstar.com/quics?page=C016613&cc=b061496:b061645&isNew=N&prcode=DP01000428
적금,KB국민프리미엄적금 (자유적립식),단체가입/병역명문가 우대금리 제공,3.2,https://obank.kbstar.com/quics?page=C016613&cc=b061496:b061645&isNew=N&prcode=DP01000429
적금,KB국민ONE적금(정액적립식),ONE통장 거래 시 우대이율 제공,3.15,https://obank.kbstar.com/quics?page=C016613&cc=b061496:b061645&isNew=N&prcode=DP01000807
적금,사업자우대적금,사업자 맞춤형 우대이율제공,3.05,https://obank.kbstar.com/quics?page=C016613&cc=b061496:b061645&isNew=N&prcode=DP01000226
적금,KB Young Youth 적금,어린이/청소년 무료 보험가입,2.85,https://obank.kbstar.com/quics?page=C016613&cc=b061496:b061645&isNew=N&prcode=DP01000940
적금,KB Smart★폰 적금,주위에 추천하면 금리가 UP!,2.75,https://obank.kbstar.com/quics?page=C016613&cc=b061496:b061645&isNew=N&prcode=DP01000339
적금,KB 1코노미 스마트적금,1인 가구 라이프 맞춤 적금,2.75,https://obank.kbstar.com/quics?page=C016613&cc=b061496:b061645&isNew=N&prcode=DP01000895
적금,KB가맹점우대적금,현명한 가맹점주의 실속 선택,2.7,https://obank.kbstar.com/quics?page=C016613&cc=b061496:b061645&isNew=N&prcode=DP01000500
적금,직장인우대적금,직장인의 알짜배기 재테크,2.65,https://obank.kbstar.com/quics?page=C016613&cc=b061496:b061645&isNew=N&prcode=DP01000228
적금,KB맑은하늘적금,맑은하늘 만들고 금리도 Up,2.6,https://obank.kbstar.com/quics?page=C016613&cc=b061496:b061645&isNew=N&prcode=DP01000942
적금,KB매직카적금,내 차를 위한 목돈 마련,2.55,https://obank.kbstar.com/quics?page=C016613&cc=b061496:b061645&isNew=N&prcode=DP01000796
적금,KB선생님든든적금,교사 배상책임보험 무료제공,2.5,https://obank.kbstar.com/quics?page=C016613&cc=b061496:b061645&isNew=N&prcode=DP01000934
적금,내 아이를 위한 280일 적금,임산부를 위한 맞춤형 상품,2.5,https://obank.kbstar.com/quics?page=C016613&cc=b061496:b061645&isNew=N&prcode=DP01000944
적금,KB내맘대로적금,누구나 쉽게 우대받는 DIY,2.45,https://obank.kbstar.com/quics?page=C016613&cc=b061496:b061645&isNew=N&prcode=DP01000821
적금,KB국민첫재테크적금,사회초년생 월복리 목돈적금,2.4,https://obank.kbstar.com/quics?page=C016613&cc=b061496:b061645&isNew=N&prcode=DP01000370
적금,KB국민ONE적금(자유적립식),최장5년 재예치로 목돈마련,2.35,https://obank.kbstar.com/quics?page=C016613&cc=b061496:b061645&isNew=N&prcode=DP01000333
적금,KB두근두근여행적금,노랑풍선 최대 3만원 & 4% 할인쿠폰!,2.35,https://obank.kbstar.com/quics?page=C016613&cc=b061496:b061645&isNew=N&prcode=DP01001495
적금,KB맑은바다적금,맑은하늘에 이어 맑은바다까지! 작지만 착한 친환경 실천,2.25,https://obank.kbstar.com/quics?page=C016613&cc=b061496:b061645&isNew=N&prcode=DP01001394
적금,e-파워자유적금,목돈만드는 비대면 전용상품,2.25,https://obank.kbstar.com/quics?page=C016613&cc=b061496:b061645&isNew=N&prcode=DP01000161
적금,The 주는 Liiv M 적금,아직도 비싼 요금제 쓰세요? Liiv M 쓰시면 혜택 팡팡,2.25,https://obank.kbstar.com/quics?page=C016613&cc=b061496:b061645&isNew=N&prcode=DP01001471
적금,KB상호부금(정액적립식),최장 72개월 목돈마련 플랜,2.0,https://obank.kbstar.com/quics?page=C016613&cc=b061496:b061645&isNew=N&prcode=DP01000038
적금,KB골든라이프연금우대적금,연금이체하면 우대이율 제공,1.95,https://obank.kbstar.com/quics?page=C016613&cc=b061496:b061645&isNew=N&prcode=DP01000364
적금,KB상호부금(자유적립식),금액·기간 자유로운 목돈마련,1.9,https://obank.kbstar.com/quics?page=C016613&cc=b061496:b061645&isNew=N&prcode=DP01000085
적금,일반정기적금, 정액적립식 확정금리 상품,1.8,https://obank.kbstar.com/quics?page=C016613&cc=b061496:b061645&isNew=N&prcode=DP01000021
