은행,종류,상품명,상품설명,한도,이자율,url
국민,서민대출,KB 새희망홀씨Ⅱ,서민층 긴급자금을 지원하는,3천만원,5.41,https://obank.kbstar.com/quics?page=C103429&cc=b104363:b104516&isNew=N&prcode=LN20000029&QSL=F
국민,서민대출,KB새희망홀씨 긴급생계자금,새희망홀씨 성실상환고객에게,5백만원,5.41,https://obank.kbstar.com/quics?page=C103429&cc=b104363:b104516&isNew=N&prcode=LN20000067&QSL=F
국민,서민대출,KB 햇살론15,고금리대출의 대안상품,1천 4백만원,15.9,https://obank.kbstar.com/quics?page=C103429&cc=b104363:b104516&isNew=N&prcode=LN20001304&QSL=F
국민,서민대출,KB 안전망대출II,연20% 초과 고금리 대출에 대한 대환상품,2천만원,17,https://obank.kbstar.com/quics?page=C103429&cc=b104363:b104516&isNew=N&prcode=LN20001305&QSL=F
국민,서민대출,KB 사잇돌 중금리대출,서민층 생활안정 중금리대출,2천만원,6.31,https://obank.kbstar.com/quics?page=C103429&cc=b104363:b104516&isNew=N&prcode=LN20000075&QSL=F
신한,서민대출,"신한 대학생,청년 햇살론","신한 대학생,청년 햇살론",1천 2백만원,4.5,https://bank.shinhan.com/index.jsp#020300000000
신한,서민대출,신한 햇살론뱅크,서민금융진흥원의 보증서를 통한 긴급샐활자금 및 고금리대출 대환 지원상품,2천만원,4.0,https://bank.shinhan.com/index.jsp#020300000000
신한,서민대출,신한 햇살론 15,국민행복기금의 보증서를 담보로 긴급생활자금을 지원하는 상품,1천 4백만원,15.9,https://bank.shinhan.com/index.jsp#020300000000
신한,서민대출,쏠편한 햇살론 Youth 대출,취업준비생 및 사회초년생의 건전한 금융거래를 지원하는 보증서 담보 대출 상품,1천 2백만원,3.5,https://bank.shinhan.com/index.jsp#020300000000
우리,서민대출,우리 햇살론15,고금리 대출 대안 정책서민금융상품,1천 4백만원,15.9,https://spot.wooribank.com/pot/Dream?withyou=POLON0060&cc=c010528:c010531;c012425:c012399&PLM_PDCD=P020006259&PRD_CD=P020006259&HOST_PRD_CD=2011302111001
하나,서민대출,하나 징검다리론,"4대 서민금융상품(새희망홀씨, 햇살론, 미소금융, 바꿔드림론)을 성실상환 한 자",3천만원,5.78,https://www.kebhana.com/cont/mall/mall08/mall0802/mall080204/1420275_115200.jsp?_menuNo=98786
하나,서민대출,햇살론15,최저신용자를 대상으로 긴급 생계자금 및 고금리대출의 대환자금 마련을 위한 서민금융 지원 상품,1천 4백만원,15.9,https://www.kebhana.com/cont/mall/mall08/mall0802/mall080202/1475036_115196.jsp?_menuNo=98786
