은행,상품명,상품설명,이자율,url
신한,디딤씨앗 적립예금,최장 18년까지 매 5년 단위로 이자율이 변동되는 아동발달지원계좌,2.3,https://bank.shinhan.com/index.jsp#020100000000
우리,WON 기업정기예금,법인/개인사업자 전용 예금,2.3,https://spot.wooribank.com/pot/Dream?withyou=PODEP0020&cc=c007095:c009166;c012263:c012399&PLM_PDCD=P010002385&PRD_CD=P010002385&ALL_GB=&depKind=A03
국민,KB Star 정기예금,Digital KB의 대표 정기예금,2.19,https://obank.kbstar.com/quics?page=C016613&cc=b061496:b061645&isNew=N&prcode=DP01000938
국민,KB 더블모아 예금,중장기 절세/투자와 단기 목돈 관리를 한 번에!,2.05,https://obank.kbstar.com/quics?page=C016613&cc=b061496:b061645&isNew=Y&prcode=DP01001493
하나,하나의 정기예금,자유롭게 자금관리가 가능한 하나원큐(스마트폰 뱅킹) 전용 정기예금,1.95,https://www.kebhana.com/cont/mall/mall08/mall0801/mall080101/1479088_115126.jsp
우리,모이면 금리가 올라가는 예금,금액이 모이면 모일수록 금리는 UP! UP!,1.9,https://spot.wooribank.com/pot/Dream?withyou=PODEP0020&cc=c007095:c009166;c012263:c012399&PLM_PDCD=P010002355&PRD_CD=P010002355&ALL_GB=&depKind=A03
국민,KB Green Wave 1.5℃ 정기예금,친환경 활동 실천 시 우대이율 제공,1.8,https://obank.kbstar.com/quics?page=C016613&cc=b061496:b061645&isNew=N&prcode=DP01001490
신한,아름다운 용기 정기예금,"사전홍보 및 친환경 실천 공감대 형성, 고령자를 우대하는 ESG 상품",1.8,https://bank.shinhan.com/index.jsp#020100000000
신한,쏠편한 정기예금,만기일 연장서비스를 통해 여유롭게 관리할 수 있는 정기예금,1.75,https://bank.shinhan.com/index.jsp#020100000000
국민,KB증권 공모주 1.5배 정기예금,"KB증권 공모주 청약 시, 청약한도 150% 우대혜택을 제공하는",1.7,https://obank.kbstar.com/quics?page=C016613&cc=b061496:b061645&isNew=N&prcode=DP01001497
우리,우리 SUPER 정기예금,"만기일을 일, 월 단위로 자유롭게 선택 가능한 정기예금",1.7,https://spot.wooribank.com/pot/Dream?withyou=PODEP0020&cc=c007095:c009166;c012263:c012399&PLM_PDCD=P010002402&PRD_CD=P010002402&ALL_GB=&depKind=A03
