title,period,url
"「 KB퇴직연금 가입하고, 타~이거!」대고객 이벤트",2022.02.16 ~ 2022.03.31,https://omoney.kbstar.com/quics?page=C016559&cc=b033091:b032977
바로ERP 무료가입 일석이조(一石二鳥) 이벤트!!,"2022.02.14 ~ 2022.03.18	",https://omoney.kbstar.com/quics?page=C016559&cc=b033091:b032977
황금호랑이를 잡아라! 「KB마이데이터 황금레이스」,2022.02.07 ~ 2022.02.28,https://omoney.kbstar.com/quics?page=C016559&cc=b033091:b032977
「KB마이데이터」KB마이데이터 통합페이지,2022.02.07 ~ 2022.02.28,https://omoney.kbstar.com/quics?page=C016559&cc=b033091:b032977
2022년 기업고객 해외송금 비범한 혜택 !,2022.02.07 ~ 2022.03.31,https://omoney.kbstar.com/quics?page=C016559&cc=b033091:b032977
「My저금통」과 함께하는 #이만큼챌린지 시즌2,2022.02.07 ~ 2022.02.28,https://omoney.kbstar.com/quics?page=C016559&cc=b033091:b032977
「KB마이데이터 보너스 이벤트」,2022.02.07 ~ 2022.02.28,https://omoney.kbstar.com/quics?page=C016559&cc=b033091:b032977
"지금 「KB TWO테크 외화정기예금」 가입하면, 환율우대 100% 혜택 제공!",2022.02.04 ~ 2022.03.31,https://omoney.kbstar.com/quics?page=C016559&cc=b033091:b032977
비대면 「주택자금대출」 (전세/담보) 통합 이벤트,2022.01.28 ~ 2022.04.29,https://omoney.kbstar.com/quics?page=C016559&cc=b033091:b032977
KB청춘마루 2월 프로그램 안내,2022.01.27 ~ 2022.02.28,https://omoney.kbstar.com/quics?page=C016559&cc=b033091:b032977
리브 Next 설맞이 이벤트,2022.01.26 ~ 2022.02.18,https://omoney.kbstar.com/quics?page=C016559&cc=b033091:b032977
「비대면 희망플러스 대출」 신규 이벤트,2022.01.24 ~ 2022.06.30,https://omoney.kbstar.com/quics?page=C016559&cc=b033091:b032977
[KB꿀템팩토리 2탄] 신학기 준비완료! 「주택청약」가입하면 학용품 세트 선착순 증정!,2022.01.21 ~ 2022.03.31,https://omoney.kbstar.com/quics?page=C016559&cc=b033091:b032977
지금 KB스타뱅킹으로 KB Pay 결제하면 포인트리 범!,2022.01.19 ~ 2022.02.20,https://omoney.kbstar.com/quics?page=C016559&cc=b033091:b032977
긴 기다림은 이제그만! 고객님의 시간절약 이벤트,2022.01.14 ~ 2022.03.15,https://omoney.kbstar.com/quics?page=C016559&cc=b033091:b032977
돌아온 연말정산 KB모바일인증서로 로그인하고 13월의 월급 더블로 받자,2022.01.11 ~ 2022.02.18,https://omoney.kbstar.com/quics?page=C016559&cc=b033091:b032977
비대면 보증서담보대출 신규 이벤트,2022.01.10 ~ 2022.03.31,https://omoney.kbstar.com/quics?page=C016559&cc=b033091:b032977
비대면 신용대출 신규 이벤트,2022.01.10 ~ 2022.03.31,https://omoney.kbstar.com/quics?page=C016559&cc=b033091:b032977
