종류,상품명,상품설명,한도,이자율,url
신용대출,KB 직장인든든 신용대출,직장인이라면,3억원,3.73,https://obank.kbstar.com/quics?page=C103429&cc=b104363:b104516&isNew=N&prcode=LN20000159&QSL=F
신용대출,KB 직장인든든 신용대출(공무원/교직원),정규직 공무원/교직원이라면,3억원,3.8,https://obank.kbstar.com/quics?page=C103429&cc=b104363:b104516&isNew=N&prcode=LN20000160&QSL=F
신용대출,KB 직장인든든 신용대출(금융인),금융인을 위한,3억원,3.83,https://obank.kbstar.com/quics?page=C103429&cc=b104363:b104516&isNew=N&prcode=LN20000161&QSL=F
신용대출,KB 직장인든든 신용대출(군인),군인 고객님을 위한,3억원,3.8,https://obank.kbstar.com/quics?page=C103429&cc=b104363:b104516&isNew=N&prcode=LN20000162&QSL=F
신용대출,KB 새희망홀씨Ⅱ,서민층 긴급자금을 지원하는,3천만원,5.41,https://obank.kbstar.com/quics?page=C103429&cc=b104363:b104516&isNew=N&prcode=LN20000029&QSL=F
신용대출,KB새희망홀씨 긴급생계자금,새희망홀씨 성실상환고객에게,5백만원,5.41,https://obank.kbstar.com/quics?page=C103429&cc=b104363:b104516&isNew=N&prcode=LN20000067&QSL=F
신용대출,KB국민ONE대출,우수고객님은 대출도 ONE샷!,2천만원,4.17,https://obank.kbstar.com/quics?page=C103429&cc=b104363:b104516&isNew=N&prcode=LN20000066&QSL=F
신용대출,KB STAR CLUB 신용대출,KB STAR CLUB 고객을 위한 우수고객 전용 상품,2억원,3.57,https://obank.kbstar.com/quics?page=C103429&cc=b104363:b104516&isNew=N&prcode=LN20001158&QSL=F
신용대출,KB 급여이체신용대출,KB로 급여 받으면 우대받는,1억 5천만원,4.29,https://obank.kbstar.com/quics?page=C103429&cc=b104363:b104516&isNew=N&prcode=LN20000030&QSL=F
신용대출,KB 햇살론15,고금리대출의 대안상품,1천 4백만원,15.9,https://obank.kbstar.com/quics?page=C103429&cc=b104363:b104516&isNew=N&prcode=LN20001304&QSL=F
신용대출,KB 처음EASY 신용대출,"사회초년생, 주부 등을 위한",1천만원,5.12,https://obank.kbstar.com/quics?page=C103429&cc=b104363:b104516&isNew=N&prcode=LN20001318&QSL=F
신용대출,KB 안전망대출II,연20% 초과 고금리 대출에 대한 대환상품,2천만원,17,https://obank.kbstar.com/quics?page=C103429&cc=b104363:b104516&isNew=N&prcode=LN20001305&QSL=F
신용대출,KB 사잇돌 중금리대출,서민층 생활안정 중금리대출,2천만원,6.31,https://obank.kbstar.com/quics?page=C103429&cc=b104363:b104516&isNew=N&prcode=LN20000075&QSL=F
