종류,상품명,상품설명,이자율,url
예금,WON 기업정기예금,법인/개인사업자 전용 예금,2.3,https://spot.wooribank.com/pot/Dream?withyou=PODEP0020&cc=c007095:c009166;c012263:c012399&PLM_PDCD=P010002385&PRD_CD=P010002385&ALL_GB=&depKind=A03
예금,모이면 금리가 올라가는 예금,금액이 모이면 모일수록 금리는 UP! UP!,1.9,https://spot.wooribank.com/pot/Dream?withyou=PODEP0020&cc=c007095:c009166;c012263:c012399&PLM_PDCD=P010002355&PRD_CD=P010002355&ALL_GB=&depKind=A03
예금,우리 SUPER 정기예금,"만기일을 일, 월 단위로 자유롭게 선택 가능한 정기예금",1.7,https://spot.wooribank.com/pot/Dream?withyou=PODEP0020&cc=c007095:c009166;c012263:c012399&PLM_PDCD=P010002402&PRD_CD=P010002402&ALL_GB=&depKind=A03
예금,WON 예금,기간도 금액도 내맘대로 예금,1.6,https://spot.wooribank.com/pot/Dream?withyou=PODEP0020&cc=c007095:c009166;c012263:c012399&PLM_PDCD=P010002354&PRD_CD=P010002354&ALL_GB=&depKind=A03
예금,정기예금,원하는 기간동안 자유롭게 목돈 굴리기,1.6,https://spot.wooribank.com/pot/Dream?withyou=PODEP0020&cc=c007095:c009166;c012263:c012399&PLM_PDCD=P010000196&PRD_CD=P010000196&ALL_GB=&depKind=A03
예금,시니어플러스 우리예금(회전형),안정적인 노후자금 운용을 위한 예금,1.45,https://spot.wooribank.com/pot/Dream?withyou=PODEP0020&cc=c007095:c009166;c012263:c012399&PLM_PDCD=P010002344&PRD_CD=P010002344&ALL_GB=&depKind=A03
예금,시니어플러스 우리예금(즉시연금형),안정적인 노후자금 운용을 위한 예금,1.45,https://spot.wooribank.com/pot/Dream?withyou=PODEP0020&cc=c007095:c009166;c012263:c012399&PLM_PDCD=P010002343&PRD_CD=P010002343&ALL_GB=&depKind=A03
예금,우리 웰리치100 예금-회전형,노후자금운용 가능한 정기예금,1.45,https://spot.wooribank.com/pot/Dream?withyou=PODEP0020&cc=c007095:c009166;c012263:c012399&PLM_PDCD=P010000160&PRD_CD=P010000160&ALL_GB=&depKind=A03
예금,두루두루정기예금,변동금리로 알차게 목돈 굴려주는 예금,1.15,https://spot.wooribank.com/pot/Dream?withyou=PODEP0020&cc=c007095:c009166;c012263:c012399&PLM_PDCD=P010000361&PRD_CD=P010000361&ALL_GB=&depKind=A03
적금,우리 Magic 적금 by 롯데카드,최고 연 7.0% 고금리 적금,7.0,https://spot.wooribank.com/pot/Dream?withyou=PODEP0021&cc=c007095:c009166;c012263:c012399&PLM_PDCD=P010002406&PRD_CD=P010002406&ALL_GB=&depKind=A04
적금,우리페이 적금,결제할수록 금리가 올라가는 최고 연 6.0% 고금리 적금,6.0,https://spot.wooribank.com/pot/Dream?withyou=PODEP0021&cc=c007095:c009166;c012263:c012399&PLM_PDCD=P010002425&PRD_CD=P010002425&ALL_GB=&depKind=A04
적금,우리 Magic 적금 by 현대카드,최고 연 5.7% 고금리 적금,5.7,https://spot.wooribank.com/pot/Dream?withyou=PODEP0021&cc=c007095:c009166;c012263:c012399&PLM_PDCD=P010002384&PRD_CD=P010002384&ALL_GB=&depKind=A04
적금,우리 청년희망 적금,청년들을 위한 고금리 적금,5.7,https://spot.wooribank.com/pot/Dream?withyou=PODEP0021&cc=c007095:c009166;c012263:c012399&PLM_PDCD=P010002484&PRD_CD=P010002484&ALL_GB=&depKind=A04
적금,우리은행 장병내일준비적금,대한민국 의무복무 장병들의 목돈마련을 위한 고금리 적금,5.5,https://spot.wooribank.com/pot/Dream?withyou=PODEP0021&cc=c007095:c009166;c012263:c012399&PLM_PDCD=P010002283&PRD_CD=P010002283&ALL_GB=&depKind=A04
적금,우리 (업체명 임직원) 적금,가입한 동료가 많을수록 금리 UP!,3.5,https://spot.wooribank.com/pot/Dream?withyou=PODEP0021&cc=c007095:c009166;c012263:c012399&PLM_PDCD=P010002373&PRD_CD=P010002373&ALL_GB=&depKind=A04
적금,스무살 우리 정기적금 (도전형-정액적립식),20대 버킷리스트 목돈 마련을 위해 GO!,3.4,https://spot.wooribank.com/pot/Dream?withyou=PODEP0021&cc=c007095:c009166;c012263:c012399&PLM_PDCD=P010002291&PRD_CD=P010002291&ALL_GB=&depKind=A04
적금,우리 (영업점명) 적금,영업점별 특판적금,3.3,https://spot.wooribank.com/pot/Dream?withyou=PODEP0021&cc=c007095:c009166;c012263:c012399&PLM_PDCD=P010002482&PRD_CD=P010002482&ALL_GB=&depKind=A04
적금,스무살 우리 자유적금 (절약형-자유적립식),"20대 버킷리스트,자투리 돈 꾸준히 모으자",2.8,https://spot.wooribank.com/pot/Dream?withyou=PODEP0021&cc=c007095:c009166;c012263:c012399&PLM_PDCD=P010002292&PRD_CD=P010002292&ALL_GB=&depKind=A04
적금,우리 SUPER주거래 정기적금,주거래고객님께 더 높은 우대금리를!,2.8,https://spot.wooribank.com/pot/Dream?withyou=PODEP0021&cc=c007095:c009166;c012263:c012399&PLM_PDCD=P010000109&PRD_CD=P010000109&ALL_GB=&depKind=A04
적금,우리 WON모아 적금,오픈뱅킹서비스를 사용하신다면!,2.7,https://spot.wooribank.com/pot/Dream?withyou=PODEP0021&cc=c007095:c009166;c012263:c012399&PLM_PDCD=P010002378&PRD_CD=P010002378&ALL_GB=&depKind=A04
적금,WON 적금,복잡하지 않고 간단한 적금,2.6,https://spot.wooribank.com/pot/Dream?withyou=PODEP0021&cc=c007095:c009166;c012263:c012399&PLM_PDCD=P010002353&PRD_CD=P010002353&ALL_GB=&depKind=A04
적금,우리 SUPER주거래 자유적금,주거래고객님께 더 높은 우대금리를!,2.6,https://spot.wooribank.com/pot/Dream?withyou=PODEP0021&cc=c007095:c009166;c012263:c012399&PLM_PDCD=P010000110&PRD_CD=P010000110&ALL_GB=&depKind=A04
적금,첫급여 우리적금,복잡한 우대금리조건 NO! Only 급여 이체!,2.6,https://spot.wooribank.com/pot/Dream?withyou=PODEP0021&cc=c007095:c009166;c012263:c012399&PLM_PDCD=P010002408&PRD_CD=P010002408&ALL_GB=&depKind=A04
적금,우리 200일 적금,200일동안 즐겁게 저축하고 최대 연 2.6%의 금리까지 받을 수 있는 핵꿀 적금!,2.6,https://spot.wooribank.com/pot/Dream?withyou=PODEP0021&cc=c007095:c009166;c012263:c012399&PLM_PDCD=P010002405&PRD_CD=P010002405&ALL_GB=&depKind=A04
적금,우리 으쓱(ESG) 적금,대중교통 이용 및 환경보호 실천운동 달성 시 우대혜택,2.35,https://spot.wooribank.com/pot/Dream?withyou=PODEP0021&cc=c007095:c009166;c012263:c012399&PLM_PDCD=P010002448&PRD_CD=P010002448&ALL_GB=&depKind=A04
적금,시니어플러스 우리적금(즉시연금형),안정적인 노후자금 마련을 위한 적금,2.2,https://spot.wooribank.com/pot/Dream?withyou=PODEP0021&cc=c007095:c009166;c012263:c012399&PLM_PDCD=P010002345&PRD_CD=P010002345&ALL_GB=&depKind=A04
