제목,날짜
" 자발적 기부 프로그램 신설로 ESG 경영 선도, ‘우리WON클릭 기부함’ 신설",2022.01.13
 디지털 혁신을 위한 ‘블록체인 플랫폼’ 구축,2022.01.06
 우리WON뱅킹 ‘원스톱 연계대출 서비스’ 출시,2022.01.06
 창립 123주년 특별사회공헌 ‘결식아동 지원’,2022.01.05
 초고액 자산가 대상 특화점포 ‘TCE 시그니처센터’ 개점,2022.01.04
 삼성물산 에버랜드와 ESG 협력 강화 업무협약 체결,2021.12.31
 은행사박물관 홈페이지 개편... 디지털 기술 접목,2021.12.31
 고객중심 NO.1 금융플랫폼 기업 도약을 위한 조직개편 실시,2021.12.25
 농산어촌 아동 대상 ‘WOORI 디지털 교육’ 지원,2021.12.24
 LG AI 연구원과 은행권 최초 ‘초거대 AI 상용화를 위한 업무협약’ 체결,2021.12.24
 서스틴베스트 ESG 평가 ‘AA(최우수)’ 획득,2021.12.18
 한화금융계열 3사와 디지털사업 추진 업무협약 체결,2021.12.18
 화상상담창구‘디지털데스크’도입,2021.12.15
 언택트 자산관리 세미나 개최,2021.12.15
 대한민국광고대상과 온라인광고대상 수상,2021.12.15
 임직원 기금으로 소아암 어린이 지원,2021.12.10
 헝가리 사무소 개설...유럽 네트워크 확대 박차,2021.12.08
 소상공인 대상‘우리메타브랜치’오픈,2021.12.07
 우리WON뱅킹‘우리사랑e나눔터’전면 개편,2021.12.04
‘WONtact 외국환거래 비대면 신고센터’오픈,2021.12.04
 제14회 대한민국소통어워즈 2관왕 수상,2021.11.30
 캄보디아 현지법인‘상업은행 본인가’획득,2021.11.30
‘DMZ 평화의 길’환경개선사업 지원,2021.11.30
‘우리WON뱅킹 고등LoL리그 결승’개최,2021.11.30
 제14회 대한민국소통어워즈 2관왕 수상,2021.11.24
 캄보디아 현지법인‘상업은행 본인가’획득,2021.11.24
 LCK 전용 페이지‘WON하는 LCK’오픈,2021.11.18
 모의해킹 경진대회‘WooriCON’시상식 개최,2021.11.18
 자산승계 통합 브랜드‘우리내리사랑 신탁서비스’론칭,2021.11.17
 이촌세무법인과 우리내리사랑 부동산·골드신탁 업무협약 체결,2021.11.17
 영업점 방문 예약‘WON Time 예약상담서비스’시행,2021.11.05
 우리WON뱅킹 MZ세대 · 시니어세대 전용 메인화면 제공,2021.11.01
 버팀목전세자금대출 카카오페이에서 조회하고 신청,2021.10.31
 청년창업기업 대상 보증료 전액 지원 협약보증 시행,2021.10.29
‘우리WON뱅킹 고등LoL리그’개최,2021.10.24
